============================= test session starts ==============================
platform linux -- Python 3.11.15, pytest-8.1.1, pluggy-1.6.0 -- /root/miniconda3/envs/tree/bin/python3.11
cachedir: .pytest_cache
rootdir: /root/workspace/FlagGems
configfile: pytest.ini
plugins: anyio-4.14.1
collecting ... collected 1 item

benchmark/test_flash_attn_varlen_fa3_func.py::test_flash_attn_varlen_fa3_gluon_benchmark 
Operator: flash_attn_varlen_fa3_gluon  Performance Test (dtype=torch.float16, mode=kernel,level=comprehensive)
Status       Torch Latency (ms)    Gems Latency (ms)         Gems Speedup          Size Detail
-----------------------------------------------------------------------------------------------
SUCCESS               0.804384            0.813760               0.988          ('paged_decodeish_long_k_tq265_q16_k2333_h16_hk8_d128', 'paged', ([torch.Size([265, 16, 128]), torch.Size([2000, 16, 8, 128]), torch.Size([2000, 16, 8, 128]), 16, torch.Size([201]), 2333, None, torch.Size([200]), None, 0.0, 0.08838834764831845, True, [-1, -1], 0.0, None, False, False, torch.Size([200, 146]), False, torch.Size([265, 16, 128]), None, None, None, None], {'fa_version': 3, 'use_gluon': False}))
SUCCESS               0.070336            0.064384               1.092          ('paged_medium_or_prefill_tq512_q512_k512_h16_hk8_d128', 'paged', ([torch.Size([512, 16, 128]), torch.Size([2000, 16, 8, 128]), torch.Size([2000, 16, 8, 128]), 512, torch.Size([2]), 512, None, torch.Size([1]), None, 0.0, 0.08838834764831845, True, [-1, -1], 0.0, None, False, False, torch.Size([1, 32]), False, torch.Size([512, 16, 128]), None, None, None, None], {'fa_version': 3, 'use_gluon': False}))
SUCCESS               0.087008            0.087312               0.997          ('paged_mixed_short_tq265_q61_k515_h16_hk8_d128', 'paged', ([torch.Size([265, 16, 128]), torch.Size([2000, 16, 8, 128]), torch.Size([2000, 16, 8, 128]), 61, torch.Size([56]), 515, None, torch.Size([55]), None, 0.0, 0.08838834764831845, True, [-1, -1], 0.0, None, False, False, torch.Size([55, 33]), False, torch.Size([265, 16, 128]), None, None, None, None], {'fa_version': 3, 'use_gluon': False}))
SUCCESS               0.070112            0.066528               1.054          ('paged_short_tq72_q70_k70_h16_hk8_d128', 'paged', ([torch.Size([72, 16, 128]), torch.Size([2000, 16, 8, 128]), torch.Size([2000, 16, 8, 128]), 70, torch.Size([4]), 70, None, torch.Size([3]), None, 0.0, 0.08838834764831845, True, [-1, -1], 0.0, None, False, False, torch.Size([3, 5]), False, torch.Size([72, 16, 128]), None, None, None, None], {'fa_version': 3, 'use_gluon': False}))
SUCCESS               0.107680            0.068160               1.580          ('decode_b16_kv1k_d128_gqa4', 'non_paged', ([torch.Size([16, 32, 128]), torch.Size([16384, 8, 128]), torch.Size([16384, 8, 128]), 1, torch.Size([17]), 1024, torch.Size([17]), None, None, 0.0, 0.08838834764831843, True, [-1, -1], 0.0, None, False, False, None, False, torch.Size([16, 32, 128]), None, None, None, None], {'fa_version': 3, 'use_gluon': False}))
SUCCESS               0.113472            0.114656               0.990          ('decode_b16_mixed_d128_gqa4', 'non_paged', ([torch.Size([16, 32, 128]), torch.Size([30720, 8, 128]), torch.Size([30720, 8, 128]), 1, torch.Size([17]), 4096, torch.Size([17]), None, None, 0.0, 0.08838834764831843, True, [-1, -1], 0.0, None, False, False, None, False, torch.Size([16, 32, 128]), None, None, None, None], {'fa_version': 3, 'use_gluon': False}))
SUCCESS               0.114624            0.180320               0.636          ('decode_b32_kv2k_d128_gqa4', 'non_paged', ([torch.Size([32, 32, 128]), torch.Size([65536, 8, 128]), torch.Size([65536, 8, 128]), 1, torch.Size([33]), 2048, torch.Size([33]), None, None, 0.0, 0.08838834764831843, True, [-1, -1], 0.0, None, False, False, None, False, torch.Size([32, 32, 128]), None, None, None, None], {'fa_version': 3, 'use_gluon': False}))
SUCCESS               0.110528            0.074912               1.475          ('decode_b8_kv1k_d192_gqa4', 'non_paged', ([torch.Size([8, 32, 192]), torch.Size([8192, 8, 192]), torch.Size([8192, 8, 192]), 1, torch.Size([9]), 1024, torch.Size([9]), None, None, 0.0, 0.07216878364870323, True, [-1, -1], 0.0, None, False, False, None, False, torch.Size([8, 32, 192]), None, None, None, None], {'fa_version': 3, 'use_gluon': False}))
SUCCESS               0.109024            0.074752               1.458          ('decode_b8_kv1k_d256_gqa4', 'non_paged', ([torch.Size([8, 32, 256]), torch.Size([8192, 8, 256]), torch.Size([8192, 8, 256]), 1, torch.Size([9]), 1024, torch.Size([9]), None, None, 0.0, 0.0625, True, [-1, -1], 0.0, None, False, False, None, False, torch.Size([8, 32, 256]), None, None, None, None], {'fa_version': 3, 'use_gluon': False}))
SUCCESS               0.164000            0.228800               0.717          ('paged_decode_b16_kvmix_bs16_d128_gqa4', 'paged', ([torch.Size([16, 32, 128]), torch.Size([4416, 16, 8, 128]), torch.Size([4416, 16, 8, 128]), 1, torch.Size([17]), 4864, None, torch.Size([16]), None, 0.0, 0.08838834764831843, True, [-1, -1], 0.0, None, False, False, torch.Size([16, 304]), False, torch.Size([16, 32, 128]), None, None, None, None], {'fa_version': 3, 'use_gluon': False}))
SUCCESS               0.503936            1.402672               0.359          ('paged_decode_b64_bs16_d128_gqa4', 'paged', ([torch.Size([64, 32, 128]), torch.Size([27264, 16, 8, 128]), torch.Size([27264, 16, 8, 128]), 1, torch.Size([65]), 8576, None, torch.Size([64]), None, 0.0, 0.08838834764831843, True, [-1, -1], 0.0, None, False, False, torch.Size([64, 536]), False, torch.Size([64, 32, 128]), None, None, None, None], {'fa_version': 3, 'use_gluon': False}))
SUCCESS               0.107200            0.113792               0.942          ('paged_decode_b8_bs16_d192_gqa4', 'paged', ([torch.Size([8, 32, 192]), torch.Size([1104, 16, 8, 192]), torch.Size([1104, 16, 8, 192]), 1, torch.Size([9]), 1920, None, torch.Size([8]), None, 0.0, 0.07216878364870323, True, [-1, -1], 0.0, None, False, False, torch.Size([8, 120]), False, torch.Size([8, 32, 192]), None, None, None, None], {'fa_version': 3, 'use_gluon': False}))
SUCCESS               0.107552            0.113712               0.946          ('paged_decode_b8_bs16_d256_gqa4', 'paged', ([torch.Size([8, 32, 256]), torch.Size([1104, 16, 8, 256]), torch.Size([1104, 16, 8, 256]), 1, torch.Size([9]), 1920, None, torch.Size([8]), None, 0.0, 0.0625, True, [-1, -1], 0.0, None, False, False, torch.Size([8, 120]), False, torch.Size([8, 32, 256]), None, None, None, None], {'fa_version': 3, 'use_gluon': False}))
SUCCESS               0.817120            0.815072               1.003          ('paged_serve_b32_1pf_31dec_bs16_d128_gqa4', 'paged', ([torch.Size([2079, 32, 128]), torch.Size([7353, 16, 8, 128]), torch.Size([7353, 16, 8, 128]), 2048, torch.Size([33]), 3904, None, torch.Size([32]), None, 0.0, 0.08838834764831843, True, [-1, -1], 0.0, None, False, False, torch.Size([32, 244]), False, torch.Size([2079, 32, 128]), None, None, None, None], {'fa_version': 3, 'use_gluon': False}))
SUCCESS               1.990528            1.993472               0.999          ('paged_uniform_b4_s4k_bs16_d128_mha', 'paged', ([torch.Size([16384, 32, 128]), torch.Size([1536, 16, 32, 128]), torch.Size([1536, 16, 32, 128]), 4096, torch.Size([5]), 4096, None, torch.Size([4]), None, 0.0, 0.08838834764831843, True, [-1, -1], 0.0, None, False, False, torch.Size([4, 256]), False, torch.Size([16384, 32, 128]), None, None, None, None], {'fa_version': 3, 'use_gluon': False}))
SUCCESS              11.076544           10.716576               1.034          ('prefill_b2_s16k_d128_mha', 'non_paged', ([torch.Size([32768, 32, 128]), torch.Size([32768, 32, 128]), torch.Size([32768, 32, 128]), 16384, torch.Size([3]), 16384, torch.Size([3]), None, None, 0.0, 0.08838834764831843, True, [-1, -1], 0.0, None, False, False, None, False, torch.Size([32768, 32, 128]), None, None, None, None], {'fa_version': 3, 'use_gluon': False}))
SUCCESS               0.491360            0.457856               1.073          ('prefill_b4_s2k_d128_mha', 'non_paged', ([torch.Size([8192, 32, 128]), torch.Size([8192, 32, 128]), torch.Size([8192, 32, 128]), 2048, torch.Size([5]), 2048, torch.Size([5]), None, None, 0.0, 0.08838834764831843, True, [-1, -1], 0.0, None, False, False, None, False, torch.Size([8192, 32, 128]), None, None, None, None], {'fa_version': 3, 'use_gluon': False}))
SUCCESS               1.530384            1.471872               1.040          ('prefill_b4_s4k_d128_gqa4', 'non_paged', ([torch.Size([16384, 32, 128]), torch.Size([16384, 8, 128]), torch.Size([16384, 8, 128]), 4096, torch.Size([5]), 4096, torch.Size([5]), None, None, 0.0, 0.08838834764831843, True, [-1, -1], 0.0, None, False, False, None, False, torch.Size([16384, 32, 128]), None, None, None, None], {'fa_version': 3, 'use_gluon': False}))
SUCCESS               1.536512            1.499680               1.025          ('prefill_b4_s4k_d128_mha', 'non_paged', ([torch.Size([16384, 32, 128]), torch.Size([16384, 32, 128]), torch.Size([16384, 32, 128]), 4096, torch.Size([5]), 4096, torch.Size([5]), None, None, 0.0, 0.08838834764831843, True, [-1, -1], 0.0, None, False, False, None, False, torch.Size([16384, 32, 128]), None, None, None, None], {'fa_version': 3, 'use_gluon': False}))
SUCCESS               5.619040            5.353312               1.050          ('prefill_b4_s8k_d128_gqa4', 'non_paged', ([torch.Size([32768, 32, 128]), torch.Size([32768, 8, 128]), torch.Size([32768, 8, 128]), 8192, torch.Size([5]), 8192, torch.Size([5]), None, None, 0.0, 0.08838834764831843, True, [-1, -1], 0.0, None, False, False, None, False, torch.Size([32768, 32, 128]), None, None, None, None], {'fa_version': 3, 'use_gluon': False}))
SUCCESS               5.560448            5.491280               1.013          ('prefill_b4_s8k_d128_mha', 'non_paged', ([torch.Size([32768, 32, 128]), torch.Size([32768, 32, 128]), torch.Size([32768, 32, 128]), 8192, torch.Size([5]), 8192, torch.Size([5]), None, None, 0.0, 0.08838834764831843, True, [-1, -1], 0.0, None, False, False, None, False, torch.Size([32768, 32, 128]), None, None, None, None], {'fa_version': 3, 'use_gluon': False}))
SUCCESS               0.523712            0.461856               1.134          ('prefill_b8_s2k_d64_mha', 'non_paged', ([torch.Size([16384, 16, 64]), torch.Size([16384, 16, 64]), torch.Size([16384, 16, 64]), 2048, torch.Size([9]), 2048, torch.Size([9]), None, None, 0.0, 0.125, False, [-1, -1], 0.0, None, False, False, None, False, torch.Size([16384, 16, 64]), None, None, None, None], {'fa_version': 3, 'use_gluon': False}))
SUCCESS               5.677728            5.410176               1.049          ('varlen_longtail_d128_gqa4', 'non_paged', ([torch.Size([20480, 32, 128]), torch.Size([20480, 8, 128]), torch.Size([20480, 8, 128]), 16384, torch.Size([18]), 16384, torch.Size([18]), None, None, 0.0, 0.08838834764831843, True, [-1, -1], 0.0, None, False, False, None, False, torch.Size([20480, 32, 128]), None, None, None, None], {'fa_version': 3, 'use_gluon': False}))
SUCCESS               0.396512            0.378624               1.047          ('varlen_mixed_d128_gqa4', 'non_paged', ([torch.Size([3076, 32, 128]), torch.Size([20480, 8, 128]), torch.Size([20480, 8, 128]), 2048, torch.Size([7]), 8192, torch.Size([7]), None, None, 0.0, 0.08838834764831843, True, [-1, -1], 0.0, None, False, False, None, False, torch.Size([3076, 32, 128]), None, None, None, None], {'fa_version': 3, 'use_gluon': False}))
SUCCESS               0.468288            0.460768               1.016          ('varlen_serve_b32_1pf_31dec_d128_gqa4', 'non_paged', ([torch.Size([2079, 32, 128]), torch.Size([63552, 8, 128]), torch.Size([63552, 8, 128]), 2048, torch.Size([33]), 2944, torch.Size([33]), None, None, 0.0, 0.08838834764831843, True, [-1, -1], 0.0, None, False, False, None, False, torch.Size([2079, 32, 128]), None, None, None, None], {'fa_version': 3, 'use_gluon': False}))


Operator: flash_attn_varlen_fa3_gluon  Performance Test (dtype=torch.bfloat16, mode=kernel,level=comprehensive)
Status       Torch Latency (ms)    Gems Latency (ms)         Gems Speedup          Size Detail
-----------------------------------------------------------------------------------------------
SUCCESS               0.807744            0.803968               1.005          ('paged_decodeish_long_k_tq265_q16_k2333_h16_hk8_d128', 'paged', ([torch.Size([265, 16, 128]), torch.Size([2000, 16, 8, 128]), torch.Size([2000, 16, 8, 128]), 16, torch.Size([201]), 2333, None, torch.Size([200]), None, 0.0, 0.08838834764831845, True, [-1, -1], 0.0, None, False, False, torch.Size([200, 146]), False, torch.Size([265, 16, 128]), None, None, None, None], {'fa_version': 3, 'use_gluon': False}))
SUCCESS               0.061232            0.065120               0.940          ('paged_medium_or_prefill_tq512_q512_k512_h16_hk8_d128', 'paged', ([torch.Size([512, 16, 128]), torch.Size([2000, 16, 8, 128]), torch.Size([2000, 16, 8, 128]), 512, torch.Size([2]), 512, None, torch.Size([1]), None, 0.0, 0.08838834764831845, True, [-1, -1], 0.0, None, False, False, torch.Size([1, 32]), False, torch.Size([512, 16, 128]), None, None, None, None], {'fa_version': 3, 'use_gluon': False}))
SUCCESS               0.086592            0.086592               1.000          ('paged_mixed_short_tq265_q61_k515_h16_hk8_d128', 'paged', ([torch.Size([265, 16, 128]), torch.Size([2000, 16, 8, 128]), torch.Size([2000, 16, 8, 128]), 61, torch.Size([56]), 515, None, torch.Size([55]), None, 0.0, 0.08838834764831845, True, [-1, -1], 0.0, None, False, False, torch.Size([55, 33]), False, torch.Size([265, 16, 128]), None, None, None, None], {'fa_version': 3, 'use_gluon': False}))
